,Text,cleansing,case_folding,normalize_text,tokenization,stopword_removal,Translated
58,"Sbnrnya sengaja bikin appointment vaksin jumat juga biar kl anak sakit efek vaksin h+1, sabtunya aku bs nemenin. Eh aku lupa kl vaksinnya jumat ini trs tnyt di jumat ini jg semua agenda kuiyakan wakakakkakakakakakakakakakkakaka lupa.",Sbnrnya sengaja bikin appointment vaksin jumat juga biar kl anak sakit efek vaksin h sabtunya aku bs nemenin Eh aku lupa kl vaksinnya jumat ini trs tnyt di jumat ini jg semua agenda kuiyakan wakakakkakakakakakakakakakkakaka lupa ,sbnrnya sengaja bikin appointment vaksin jumat juga biar kl anak sakit efek vaksin h sabtunya aku bs nemenin eh aku lupa kl vaksinnya jumat ini trs tnyt di jumat ini jg semua agenda kuiyakan wakakakkakakakakakakakakakkakaka lupa ,sebenarnya sengaja bikin appointment vaksin jumat juga biar kl anak sakit efek vaksin h sabtunya aku bisa nemenin eh aku lupa kl vaksinnya jumat ini terus tnyt di jumat ini jg semua agenda kuiyakan wakakakkakakakakakakakakakkakaka lupa,"['sebenarnya', 'sengaja', 'bikin', 'appointment', 'vaksin', 'jumat', 'juga', 'biar', 'kl', 'anak', 'sakit', 'efek', 'vaksin', 'h', 'sabtunya', 'aku', 'bisa', 'nemenin', 'eh', 'aku', 'lupa', 'kl', 'vaksinnya', 'jumat', 'ini', 'terus', 'tnyt', 'di', 'jumat', 'ini', 'jg', 'semua', 'agenda', 'kuiyakan', 'wakakakkakakakakakakakakakkakaka', 'lupa']","['sebenarnya', 'sengaja', 'bikin', 'appointment', 'vaksin', 'jumat', 'biar', 'kl', 'anak', 'sakit', 'efek', 'vaksin', 'h', 'sabtunya', 'aku', 'nemenin', 'eh', 'aku', 'lupa', 'kl', 'vaksinnya', 'jumat', 'terus', 'tnyt', 'jumat', 'jg', 'semua', 'agenda', 'kuiyakan', 'wakakakkakakakakakakakakakkakaka', 'lupa']","actually, i deliberately made a vaccine appointment on friday too so that if the child is sick, the effect of the vaccine will be on saturday, i can accompany it, i forgot about the vaccine this friday, and then on this friday, all the agenda will be ok, i'm sorry, i forgot"
59,Kasus covid atau kasus efek vaksin ??? #nanya,Kasus covid atau kasus efek vaksin ,kasus covid atau kasus efek vaksin ,kasus covid atau kasus efek vaksin,"['kasus', 'covid', 'atau', 'kasus', 'efek', 'vaksin']","['kasus', 'covid', 'kasus', 'efek', 'vaksin']",covid cases or vaccine effect cases
60,"Sementara Covid Vaksin sebagai solusi yang mereka beri akan beresiko memicu ribuan efek samping dan mati setelahnya. #Matrix
https://t.co/CfjZGUjAhM",Sementara Covid Vaksin sebagai solusi yang mereka beri akan beresiko memicu ribuan efek samping dan mati setelahnya https t co CfjZGUjAhM,sementara covid vaksin sebagai solusi yang mereka beri akan beresiko memicu ribuan efek samping dan mati setelahnya https t co cfjzgujahm,sementara covid vaksin sebagai solusi yang mereka beri akan beresiko memicu ribuan efek samping dan mati setelahnya https t co cfjzgujahm,"['sementara', 'covid', 'vaksin', 'sebagai', 'solusi', 'yang', 'mereka', 'beri', 'akan', 'beresiko', 'memicu', 'ribuan', 'efek', 'samping', 'dan', 'mati', 'setelahnya', 'https', 't', 'co', 'cfjzgujahm']","['covid', 'vaksin', 'solusi', 'beri', 'beresiko', 'memicu', 'ribuan', 'efek', 'samping', 'mati', 'setelahnya', 'https', 't', 'co', 'cfjzgujahm']",while the covid vaccine as a solution they provide will run the risk of triggering thousands of side effects and dying afterwards https t co cfjzgujahm
61,"Bayi pandemi/efek vaksin C-19 sekarang udah gede....

#Transhumanism 
#Freedom 👉💉☣🧬 https://t.co/qlln04tw27",Bayi pandemi efek vaksin C sekarang udah gede https t co ,bayi pandemi efek vaksin c sekarang udah gede https t co ,bayi pandemi efek vaksin c sekarang sudah gede https t co,"['bayi', 'pandemi', 'efek', 'vaksin', 'c', 'sekarang', 'sudah', 'gede', 'https', 't', 'co']","['bayi', 'pandemi', 'efek', 'vaksin', 'c', 'sekarang', 'gede', 'https', 't', 'co']",pandemic baby the effect of vaccine c is now big https t co
62,"@Ini_Niax @StopPlandemit @Ndoro68295960 @maximv_satriaus tapi kalau ga masalah mau vaksin apa kagak, yang jadi impact nya kita semua.

ada efek shadding, dan EG bisa menggunakan celah menggunakan cara persuasif untuk mengajak (membujuk) warga supaya vax. atau mass media yang memberikan informasi terkait kelebihan vax, dan sebagainya.", tapi kalau ga masalah mau vaksin apa kagak yang jadi impact nya kita semua ada efek shadding dan EG bisa menggunakan celah menggunakan cara persuasif untuk mengajak membujuk warga supaya vax atau mass media yang memberikan informasi terkait kelebihan vax dan sebagainya , tapi kalau ga masalah mau vaksin apa kagak yang jadi impact nya kita semua ada efek shadding dan eg bisa menggunakan celah menggunakan cara persuasif untuk mengajak membujuk warga supaya vax atau mass media yang memberikan informasi terkait kelebihan vax dan sebagainya ,tapi kalau gak masalah mau vaksin apa gak yang jadi impact nya kita semua ada efek shadding dan eg bisa menggunakan celah menggunakan cara persuasif untuk mengajak membujuk warga supaya vax atau mass media yang memberikan informasi terkait kelebihan vax dan sebagainya,"['tapi', 'kalau', 'gak', 'masalah', 'mau', 'vaksin', 'apa', 'gak', 'yang', 'jadi', 'impact', 'nya', 'kita', 'semua', 'ada', 'efek', 'shadding', 'dan', 'eg', 'bisa', 'menggunakan', 'celah', 'menggunakan', 'cara', 'persuasif', 'untuk', 'mengajak', 'membujuk', 'warga', 'supaya', 'vax', 'atau', 'mass', 'media', 'yang', 'memberikan', 'informasi', 'terkait', 'kelebihan', 'vax', 'dan', 'sebagainya']","['kalau', 'gak', 'masalah', 'mau', 'vaksin', 'apa', 'gak', 'jadi', 'impact', 'nya', 'semua', 'efek', 'shadding', 'eg', 'menggunakan', 'celah', 'menggunakan', 'cara', 'persuasif', 'mengajak', 'membujuk', 'warga', 'vax', 'mass', 'media', 'memberikan', 'informasi', 'terkait', 'kelebihan', 'vax', 'sebagainya']",but if it doesn't matter whether you want a vaccine or not that will have an impact on all of us there is a shading effect and eg being able to use loopholes using persuasive methods to persuade residents to vax or mass media which provide information regarding the advantages of vax and so on
63,"Kopat kopet ..... preeeet....

Noh pada kesakitan karena efek disuntik cairan vaksin...",Kopat kopet preeeet Noh pada kesakitan karena efek disuntik cairan vaksin ,kopat kopet preeeet noh pada kesakitan karena efek disuntik cairan vaksin ,kopat kopet preeeet noh pada kesakitan karena efek disuntik cairan vaksin,"['kopat', 'kopet', 'preeeet', 'noh', 'pada', 'kesakitan', 'karena', 'efek', 'disuntik', 'cairan', 'vaksin']","['kopat', 'kopet', 'preeeet', 'noh', 'kesakitan', 'efek', 'disuntik', 'cairan', 'vaksin']",kopat kopet preeeet noh in pain due to the effects of being injected with vaccine fluid
64,"Data dari Pfizer &amp; Moderna yang baru dirilis ke publik (akibat gugatan keterbukaan informasi):
1 dari 800 penerima vaksin mengalami efek samping serius.",Data dari Pfizer Moderna yang baru dirilis ke publik akibat gugatan keterbukaan informasi dari penerima vaksin mengalami efek samping serius ,data dari pfizer moderna yang baru dirilis ke publik akibat gugatan keterbukaan informasi dari penerima vaksin mengalami efek samping serius ,data dari pfizer moderna yang baru dirilis ke publik akibat gugatan keterbukaan informasi dari penerima vaksin mengalami efek samping serius,"['data', 'dari', 'pfizer', 'moderna', 'yang', 'baru', 'dirilis', 'ke', 'publik', 'akibat', 'gugatan', 'keterbukaan', 'informasi', 'dari', 'penerima', 'vaksin', 'mengalami', 'efek', 'samping', 'serius']","['data', 'pfizer', 'moderna', 'baru', 'dirilis', 'publik', 'akibat', 'gugatan', 'keterbukaan', 'informasi', 'penerima', 'vaksin', 'mengalami', 'efek', 'samping', 'serius']",data from pfizer moderna which has just been released to the public as a result of an information disclosure lawsuit from vaccine recipients experiencing serious side effects
65,@tama_tamaras @PartBurungGalak Doskqi mati karena efek vaksin, Doskqi mati karena efek vaksin, doskqi mati karena efek vaksin,doskqi mati karena efek vaksin,"['doskqi', 'mati', 'karena', 'efek', 'vaksin']","['doskqi', 'mati', 'efek', 'vaksin']",doskqi died from the effects of the vaccine
66,"tyt replyannya pada nyadar klo efek vaksin.
Syukurlah mulai pada sadar klo ditipu para tukang juru wabah dan sales vaksin...",tyt replyannya pada nyadar klo efek vaksin Syukurlah mulai pada sadar klo ditipu para tukang juru wabah dan sales vaksin ,tyt replyannya pada nyadar klo efek vaksin syukurlah mulai pada sadar klo ditipu para tukang juru wabah dan sales vaksin ,tyt replyannya pada nyadar kalau efek vaksin syukurlah mulai pada sadar kalau ditipu para tukang juru wabah dan sales vaksin,"['tyt', 'replyannya', 'pada', 'nyadar', 'kalau', 'efek', 'vaksin', 'syukurlah', 'mulai', 'pada', 'sadar', 'kalau', 'ditipu', 'para', 'tukang', 'juru', 'wabah', 'dan', 'sales', 'vaksin']","['tyt', 'replyannya', 'nyadar', 'kalau', 'efek', 'vaksin', 'syukurlah', 'mulai', 'sadar', 'kalau', 'ditipu', 'tukang', 'juru', 'wabah', 'sales', 'vaksin']","tyt reply to realizing that the effect of the vaccine, thank god, is starting to realize that the plague workers and vaccine sales were deceived"
67,@IwanIwanely72 Efek vaksin 😭, Efek vaksin , efek vaksin ,efek vaksin,"['efek', 'vaksin']","['efek', 'vaksin']",vaccine effect
68,"Penyakit HOAX di endorse, di buat heboh dan dibuat viral, sementara puluhan ribu orang terkena efek samping dan mati akibat dari Solusi yaitu Covid Vaksin yang mereka beri, mereka kompak cuci tangan, lempar tanggung jawab bahkan menyalahkannya pada hal-hal lain, Pandemi bloon.",Penyakit HOAX di endorse di buat heboh dan dibuat viral sementara puluhan ribu orang terkena efek samping dan mati akibat dari Solusi yaitu Covid Vaksin yang mereka beri mereka kompak cuci tangan lempar tanggung jawab bahkan menyalahkannya pada hal hal lain Pandemi bloon ,penyakit hoax di endorse di buat heboh dan dibuat viral sementara puluhan ribu orang terkena efek samping dan mati akibat dari solusi yaitu covid vaksin yang mereka beri mereka kompak cuci tangan lempar tanggung jawab bahkan menyalahkannya pada hal hal lain pandemi bloon ,penyakit hoax di endorse di buat heboh dan dibuat viral sementara puluhan ribu orang terkena efek samping dan mati akibat dari solusi yaitu covid vaksin yang mereka beri mereka kompak cuci tangan lempar tanggung jawab bahkan menyalahkannya pada hal hal lain pandemi bloon,"['penyakit', 'hoax', 'di', 'endorse', 'di', 'buat', 'heboh', 'dan', 'dibuat', 'viral', 'sementara', 'puluhan', 'ribu', 'orang', 'terkena', 'efek', 'samping', 'dan', 'mati', 'akibat', 'dari', 'solusi', 'yaitu', 'covid', 'vaksin', 'yang', 'mereka', 'beri', 'mereka', 'kompak', 'cuci', 'tangan', 'lempar', 'tanggung', 'jawab', 'bahkan', 'menyalahkannya', 'pada', 'hal', 'hal', 'lain', 'pandemi', 'bloon']","['penyakit', 'hoax', 'endorse', 'buat', 'heboh', 'dibuat', 'viral', 'puluhan', 'ribu', 'orang', 'terkena', 'efek', 'samping', 'mati', 'akibat', 'solusi', 'covid', 'vaksin', 'beri', 'kompak', 'cuci', 'tangan', 'lempar', 'tanggung', 'jawab', 'bahkan', 'menyalahkannya', 'pandemi', 'bloon']","hoax disease endorsed made a scene and made it viral while tens of thousands of people got side effects and died as a result of the solution, namely the covid vaccine that they gave them, they compactly washed their hands, throwing responsibility and even blaming it on other things, a stupid pandemic"
69,@gSapt_ @Ndoro68295960 Berarti dia mengakui efek vaksin loh😂😂, Berarti dia mengakui efek vaksin loh , berarti dia mengakui efek vaksin loh ,berarti dia mengakui efek vaksin loh,"['berarti', 'dia', 'mengakui', 'efek', 'vaksin', 'loh']","['berarti', 'mengakui', 'efek', 'vaksin', 'loh']",means he acknowledges the effect of the vaccine
70,@Violayel @Ndoro68295960 @faithouse_ @StopPlandemit @DedenTanuwijaya Lah emang efek vaksin awalnya pasti gitu. Emangnya abis demam bapil tiba2 jutaan orang mati gitu?, Lah emang efek vaksin awalnya pasti gitu Emangnya abis demam bapil jutaan orang mati gitu , lah emang efek vaksin awalnya pasti gitu emangnya abis demam bapil jutaan orang mati gitu ,lah emang efek vaksin awalnya pasti gitu emangnya habis demam bapil jutaan orang mati gitu,"['lah', 'emang', 'efek', 'vaksin', 'awalnya', 'pasti', 'gitu', 'emangnya', 'habis', 'demam', 'bapil', 'jutaan', 'orang', 'mati', 'gitu']","['lah', 'emang', 'efek', 'vaksin', 'awalnya', 'gitu', 'emangnya', 'habis', 'demam', 'bapil', 'jutaan', 'orang', 'mati', 'gitu']","well, the initial effect of the vaccine is certain that after the viral fever ends, millions of people die like that"
71,@jem_bos YaAllah 🥲 mereka kena karena efek vaksin kah?, YaAllah mereka kena karena efek vaksin kah , yaallah mereka kena karena efek vaksin kah ,yaallah mereka kena karena efek vaksin kah,"['yaallah', 'mereka', 'kena', 'karena', 'efek', 'vaksin', 'kah']","['yaallah', 'kena', 'efek', 'vaksin']","yes, they got it because of the effect of the vaccine"
72,"Recap Evakuasi, Perang di #sudan

Hari ke-15.
Masih di Jakarta.
Mulai ngisi formulir pernyataan kepulangan mandiri atau ikut Pemda, sekaligus pengambilan paspor.
Btw, ini efek vaksin dosis full mulai bereaksi jadi sempet sakit hehe. Tapi Enjoy aja lah masih kuat jalan2 ngebakso. https://t.co/Dk0GmPIAGU",Recap Evakuasi Perang di Hari ke Masih di Jakarta Mulai ngisi formulir pernyataan kepulangan mandiri atau ikut Pemda sekaligus pengambilan paspor Btw ini efek vaksin dosis full mulai bereaksi jadi sempet sakit hehe Tapi Enjoy aja lah masih kuat ngebakso https t co ,recap evakuasi perang di hari ke masih di jakarta mulai ngisi formulir pernyataan kepulangan mandiri atau ikut pemda sekaligus pengambilan paspor btw ini efek vaksin dosis full mulai bereaksi jadi sempet sakit hehe tapi enjoy aja lah masih kuat ngebakso https t co ,recap evakuasi perang di hari ke masih di jakarta mulai ngisi formulir pernyataan kepulangan mandiri atau ikut pemda sekaligus pengambilan paspor btw ini efek vaksin dosis full mulai bereaksi jadi sempet sakit hehehe tapi enjoy aja lah masih kuat ngebakso https t co,"['recap', 'evakuasi', 'perang', 'di', 'hari', 'ke', 'masih', 'di', 'jakarta', 'mulai', 'ngisi', 'formulir', 'pernyataan', 'kepulangan', 'mandiri', 'atau', 'ikut', 'pemda', 'sekaligus', 'pengambilan', 'paspor', 'btw', 'ini', 'efek', 'vaksin', 'dosis', 'full', 'mulai', 'bereaksi', 'jadi', 'sempet', 'sakit', 'hehehe', 'tapi', 'enjoy', 'aja', 'lah', 'masih', 'kuat', 'ngebakso', 'https', 't', 'co']","['recap', 'evakuasi', 'perang', 'hari', 'jakarta', 'mulai', 'ngisi', 'formulir', 'pernyataan', 'kepulangan', 'mandiri', 'ikut', 'pemda', 'sekaligus', 'pengambilan', 'paspor', 'btw', 'efek', 'vaksin', 'dosis', 'full', 'mulai', 'bereaksi', 'jadi', 'sempet', 'sakit', 'hehehe', 'enjoy', 'aja', 'lah', 'kuat', 'ngebakso', 'https', 't', 'co']","war evacuation recap on the 1st day still in jakarta starting to fill out the declaration form for independent return or joining the local government as well as picking up a passport btw the effect of the full dose vaccine is starting to react so it hurts hehehe but just enjoy it, it's still strong for meatballs https t co"
73,"Fenomena yg banyak terjadi pasca vac Covid. Namun masyarakat banyak yang masih diam bahkan denial dengan efek samping vaksin tsb. Cegah cairan asing masuk dalam darah!!
*Mudah-mudahan sender segera pulih.🙏",Fenomena yg banyak terjadi pasca vac Covid Namun masyarakat banyak yang masih diam bahkan denial dengan efek samping vaksin tsb Cegah cairan asing masuk dalam darah Mudah mudahan sender segera pulih ,fenomena yg banyak terjadi pasca vac covid namun masyarakat banyak yang masih diam bahkan denial dengan efek samping vaksin tsb cegah cairan asing masuk dalam darah mudah mudahan sender segera pulih ,fenomena yang banyak terjadi pasca vac covid namun masyarakat banyak yang masih diam bahkan denial dengan efek samping vaksin tsb cegah cairan asing masuk dalam darah mudah mudahan sender segera pulih,"['fenomena', 'yang', 'banyak', 'terjadi', 'pasca', 'vac', 'covid', 'namun', 'masyarakat', 'banyak', 'yang', 'masih', 'diam', 'bahkan', 'denial', 'dengan', 'efek', 'samping', 'vaksin', 'tsb', 'cegah', 'cairan', 'asing', 'masuk', 'dalam', 'darah', 'mudah', 'mudahan', 'sender', 'segera', 'pulih']","['fenomena', 'banyak', 'terjadi', 'pasca', 'vac', 'covid', 'masyarakat', 'banyak', 'diam', 'bahkan', 'denial', 'efek', 'samping', 'vaksin', 'tsb', 'cegah', 'cairan', 'asing', 'masuk', 'darah', 'mudah', 'mudahan', 'sender', 'segera', 'pulih']","a phenomenon that has happened a lot after the covid vac but many people are still silent and even denial about the side effects of the vaccine prevent foreign fluids from entering the blood, hopefully the sender will recover soon"
74,"@mutiaradhiba @stwjy @tanyakanrl Keluarga ku yg udah trlanjur booster 3 aku saranin on diet karbo, no gula no tepung2an, syukurlah mrk g gtl2. Kalo bisa temukan cara mendetoks vaksin nya bisa pakai rendang obat, netvaks, avo dll yg emg trbukti byk yg nyelametin yg kena efek vaksin. Rumah2 homeopaty Bali jg bisa", Keluarga ku yg udah trlanjur booster aku saranin on diet karbo no gula no syukurlah mrk g Kalo bisa temukan cara mendetoks vaksin nya bisa pakai rendang obat netvaks avo dll yg emg trbukti byk yg nyelametin yg kena efek vaksin homeopaty Bali jg bisa, keluarga ku yg udah trlanjur booster aku saranin on diet karbo no gula no syukurlah mrk g kalo bisa temukan cara mendetoks vaksin nya bisa pakai rendang obat netvaks avo dll yg emg trbukti byk yg nyelametin yg kena efek vaksin homeopaty bali jg bisa,keluarga ku yang sudah trlanjur booster aku saranin on diet karbo no gula no syukurlah mereka g kalo bisa temukan cara mendetoks vaksin nya bisa pakai rendang obat netvaks avo dll yang emg trbukti banyak yang nyelametin yang kena efek vaksin homeopaty bali jg bisa,"['keluarga', 'ku', 'yang', 'sudah', 'trlanjur', 'booster', 'aku', 'saranin', 'on', 'diet', 'karbo', 'no', 'gula', 'no', 'syukurlah', 'mereka', 'g', 'kalo', 'bisa', 'temukan', 'cara', 'mendetoks', 'vaksin', 'nya', 'bisa', 'pakai', 'rendang', 'obat', 'netvaks', 'avo', 'dll', 'yang', 'emg', 'trbukti', 'banyak', 'yang', 'nyelametin', 'yang', 'kena', 'efek', 'vaksin', 'homeopaty', 'bali', 'jg', 'bisa']","['keluarga', 'ku', 'trlanjur', 'booster', 'aku', 'saranin', 'on', 'diet', 'karbo', 'no', 'gula', 'no', 'syukurlah', 'g', 'kalo', 'temukan', 'cara', 'mendetoks', 'vaksin', 'nya', 'pakai', 'rendang', 'obat', 'netvaks', 'avo', 'emg', 'trbukti', 'banyak', 'nyelametin', 'kena', 'efek', 'vaksin', 'homeopaty', 'bali', 'jg']","my family, who already has a booster, i suggest on the carb diet, no sugar, no, thank goodness they can find a way to detoxify the vaccine, you can use rendang, the drug netvaks avo, etc. which has proven to be a lot of people who have saved the effects of the bali homeopathic vaccine, too."
75,"@BaseBDG 2 kali saya kena... Hilang rasa sesak napas setelah di vaksin.. Nya itu kehendak tuhan juga, kedua cuma demam nyeri awak, byk yg kena covid trus efek samping nya lama, konsultasi ke dokter neurologist, ada syaraf yg kena klo sampai skrg belum sembuh total.", kali saya kena Hilang rasa sesak napas setelah di vaksin Nya itu kehendak tuhan juga kedua cuma demam nyeri awak byk yg kena covid trus efek samping nya lama konsultasi ke dokter neurologist ada syaraf yg kena klo sampai skrg belum sembuh total , kali saya kena hilang rasa sesak napas setelah di vaksin nya itu kehendak tuhan juga kedua cuma demam nyeri awak byk yg kena covid trus efek samping nya lama konsultasi ke dokter neurologist ada syaraf yg kena klo sampai skrg belum sembuh total ,kali saya kena hilang rasa sesak napas setelah di vaksin nya itu kehendak tuhan juga kedua cuma demam nyeri awak banyak yang kena covid terus efek samping nya lama konsultasi ke dokter neurologist ada syaraf yang kena kalau sampai sekarang belum sembuh total,"['kali', 'saya', 'kena', 'hilang', 'rasa', 'sesak', 'napas', 'setelah', 'di', 'vaksin', 'nya', 'itu', 'kehendak', 'tuhan', 'juga', 'kedua', 'cuma', 'demam', 'nyeri', 'awak', 'banyak', 'yang', 'kena', 'covid', 'terus', 'efek', 'samping', 'nya', 'lama', 'konsultasi', 'ke', 'dokter', 'neurologist', 'ada', 'syaraf', 'yang', 'kena', 'kalau', 'sampai', 'sekarang', 'belum', 'sembuh', 'total']","['kali', 'kena', 'hilang', 'rasa', 'sesak', 'napas', 'vaksin', 'nya', 'kehendak', 'tuhan', 'kedua', 'cuma', 'demam', 'nyeri', 'awak', 'banyak', 'kena', 'covid', 'terus', 'efek', 'samping', 'nya', 'lama', 'konsultasi', 'dokter', 'neurologist', 'syaraf', 'kena', 'kalau', 'sekarang', 'sembuh', 'total']","the second time i had a feeling of shortness of breath after being vaccinated, it was god's will. second, it was just fever, pain, you got lots of covid and the side effects took a long time to consult a neurologist, there were nerves that were affected, if until now it hasn't fully recovered."
76,"@convomf Padhal vaksin di puskesmas gratis, kemarin avis vaksin booster gak bayar apa apa, gak ada efek sampingnya juga sih", Padhal vaksin di puskesmas gratis kemarin avis vaksin booster gak bayar apa apa gak ada efek sampingnya juga sih, padhal vaksin di puskesmas gratis kemarin avis vaksin booster gak bayar apa apa gak ada efek sampingnya juga sih,padhal vaksin di puskesmas gratis kemarin avis vaksin booster gak bayar apa apa gak ada efek sampingnya juga sih,"['padhal', 'vaksin', 'di', 'puskesmas', 'gratis', 'kemarin', 'avis', 'vaksin', 'booster', 'gak', 'bayar', 'apa', 'apa', 'gak', 'ada', 'efek', 'sampingnya', 'juga', 'sih']","['padhal', 'vaksin', 'puskesmas', 'gratis', 'kemarin', 'avis', 'vaksin', 'booster', 'gak', 'bayar', 'apa', 'apa', 'gak', 'efek', 'sampingnya', 'sih']",even though the vaccine at the puskesmas was free yesterday the avis booster vaccine didn't pay for anything or didn't have any side effects either
77,"Jika Sobatkom menemukan informasi tidak benar tentang vaksin Covid-19, segera cek kebenarannya, ya. Seperti info yang mengeklaim bahwa sopir bus pingsan saat mengemudi akibat efek vaksin Covid-19. Info tersebut ternyata DISINFORMASI, loh! Cek selengkapnya di infografis ini, ya! https://t.co/Dyuu4m6k1R",Jika Sobatkom menemukan informasi tidak benar tentang vaksin Covid segera cek kebenarannya ya Seperti info yang mengeklaim bahwa sopir bus pingsan saat mengemudi akibat efek vaksin Covid Info tersebut ternyata DISINFORMASI loh Cek selengkapnya di infografis ini ya https t co ,jika sobatkom menemukan informasi tidak benar tentang vaksin covid segera cek kebenarannya ya seperti info yang mengeklaim bahwa sopir bus pingsan saat mengemudi akibat efek vaksin covid info tersebut ternyata disinformasi loh cek selengkapnya di infografis ini ya https t co ,jika sobatkom menemukan informasi tidak benar tentang vaksin covid segera cek kebenarannya ya seperti info yang mengeklaim bahwa sopir bus pingsan saat mengemudi akibat efek vaksin covid info tersebut ternyata disinformasi loh cek selengkapnya di infografis ini ya https t co,"['jika', 'sobatkom', 'menemukan', 'informasi', 'tidak', 'benar', 'tentang', 'vaksin', 'covid', 'segera', 'cek', 'kebenarannya', 'ya', 'seperti', 'info', 'yang', 'mengeklaim', 'bahwa', 'sopir', 'bus', 'pingsan', 'saat', 'mengemudi', 'akibat', 'efek', 'vaksin', 'covid', 'info', 'tersebut', 'ternyata', 'disinformasi', 'loh', 'cek', 'selengkapnya', 'di', 'infografis', 'ini', 'ya', 'https', 't', 'co']","['sobatkom', 'menemukan', 'informasi', 'benar', 'vaksin', 'covid', 'segera', 'cek', 'kebenarannya', 'info', 'mengeklaim', 'sopir', 'bus', 'pingsan', 'mengemudi', 'akibat', 'efek', 'vaksin', 'covid', 'info', 'tersebut', 'ternyata', 'disinformasi', 'loh', 'cek', 'selengkapnya', 'infografis', 'https', 't', 'co']","if you find incorrect information about the covid vaccine, immediately check the truth, like the info that claims that the bus driver fainted while driving due to the effects of the covid vaccine, the info turns out to be disinformation, check this infographic in full, ok https t co"
78,"@chrysnfl Emang covid yg skrg gejalanya ga terlalu beda sama bapil biasa, karena efek udah pada vaksin jg, jd gejalanya ga berat.", Emang covid yg skrg gejalanya ga terlalu beda sama bapil biasa karena efek udah pada vaksin jg jd gejalanya ga berat , emang covid yg skrg gejalanya ga terlalu beda sama bapil biasa karena efek udah pada vaksin jg jd gejalanya ga berat ,emang covid yang sekarang gejalanya gak terlalu beda sama bapil biasa karena efek sudah pada vaksin jg jd gejalanya gak berat,"['emang', 'covid', 'yang', 'sekarang', 'gejalanya', 'gak', 'terlalu', 'beda', 'sama', 'bapil', 'biasa', 'karena', 'efek', 'sudah', 'pada', 'vaksin', 'jg', 'jd', 'gejalanya', 'gak', 'berat']","['emang', 'covid', 'sekarang', 'gejalanya', 'gak', 'terlalu', 'beda', 'sama', 'bapil', 'biasa', 'efek', 'vaksin', 'jg', 'jd', 'gejalanya', 'gak', 'berat']","indeed, the current covid-19 symptoms are not too different from the usual viral infection because the effect has been on the vaccine so the symptoms are not severe"
79,"[DISINFORMASI] Rekaman Sopir Bus Sekolah Pingsan saat Mengemudi akibat Efek Vaksin COVID-19

Beredar video yang memperlihatkan sopir bus sekolah pingsan. Hal itu disebut terjadi akibat efek vaksin COVID-19 yang diterima oleh sang sopir. Cek faktanya lewat infografis berikut, Lur! https://t.co/DYCqBJSeUl", DISINFORMASI Rekaman Sopir Bus Sekolah Pingsan saat Mengemudi akibat Efek Vaksin COVID Beredar video yang memperlihatkan sopir bus sekolah pingsan Hal itu disebut terjadi akibat efek vaksin COVID yang diterima oleh sang sopir Cek faktanya lewat infografis berikut Lur https t co DYCqBJSeUl, disinformasi rekaman sopir bus sekolah pingsan saat mengemudi akibat efek vaksin covid beredar video yang memperlihatkan sopir bus sekolah pingsan hal itu disebut terjadi akibat efek vaksin covid yang diterima oleh sang sopir cek faktanya lewat infografis berikut lur https t co dycqbjseul,disinformasi rekaman sopir bus sekolah pingsan saat mengemudi akibat efek vaksin covid beredar video yang memperlihatkan sopir bus sekolah pingsan hal itu disebut terjadi akibat efek vaksin covid yang diterima oleh sang sopir cek faktanya lewat infografis berikut lur https t co dycqbjseul,"['disinformasi', 'rekaman', 'sopir', 'bus', 'sekolah', 'pingsan', 'saat', 'mengemudi', 'akibat', 'efek', 'vaksin', 'covid', 'beredar', 'video', 'yang', 'memperlihatkan', 'sopir', 'bus', 'sekolah', 'pingsan', 'hal', 'itu', 'disebut', 'terjadi', 'akibat', 'efek', 'vaksin', 'covid', 'yang', 'diterima', 'oleh', 'sang', 'sopir', 'cek', 'faktanya', 'lewat', 'infografis', 'berikut', 'lur', 'https', 't', 'co', 'dycqbjseul']","['disinformasi', 'rekaman', 'sopir', 'bus', 'sekolah', 'pingsan', 'mengemudi', 'akibat', 'efek', 'vaksin', 'covid', 'beredar', 'video', 'memperlihatkan', 'sopir', 'bus', 'sekolah', 'pingsan', 'disebut', 'terjadi', 'akibat', 'efek', 'vaksin', 'covid', 'diterima', 'sang', 'sopir', 'cek', 'faktanya', 'lewat', 'infografis', 'berikut', 'lur', 'https', 't', 'co', 'dycqbjseul']",disinformation recording of a school bus driver fainting while driving due to the effects of the covid vaccine circulating a video showing a school bus driver fainting it is said to have occurred due to the effects of the covid vaccine received by the driver check the facts via the following infographic lur https t co dycqbjseul
