,Text,cleansing,case_folding,normalize_text,tokenization,stopword_removal
988,"Efek vaksin booster 2 ini kok lama amat, tangan sakit udh kaya abis ditinju🥲 padahal udh minum paracetamol tp masih nyeri gusti",Efek vaksin booster ini kok lama amat tangan sakit udh kaya abis ditinju padahal udh minum paracetamol tp masih nyeri gusti,efek vaksin booster ini kok lama amat tangan sakit udh kaya abis ditinju padahal udh minum paracetamol tp masih nyeri gusti,efek vaksin booster ini kok lama amat tangan sakit sudah kaya habis ditinju padahal sudah minum paracetamol tp masih nyeri gusti,"['efek', 'vaksin', 'booster', 'ini', 'kok', 'lama', 'amat', 'tangan', 'sakit', 'sudah', 'kaya', 'habis', 'ditinju', 'padahal', 'sudah', 'minum', 'paracetamol', 'tp', 'masih', 'nyeri', 'gusti']","['efek', 'vaksin', 'booster', 'kok', 'lama', 'tangan', 'sakit', 'kaya', 'habis', 'ditinju', 'padahal', 'minum', 'paracetamol', 'tp', 'nyeri', 'gusti']"
989,Efek vaksin nya mantap bgt kak 😭😭😭,Efek vaksin nya mantap bgt kak ,efek vaksin nya mantap bgt kak ,efek vaksin nya mantap banget kak,"['efek', 'vaksin', 'nya', 'mantap', 'banget', 'kak']","['efek', 'vaksin', 'nya', 'mantap', 'banget', 'kak']"
990,"@yourpetsfess Ga ada maksimal usia, jd usia berapapun asalkan memenuhi syarat kesehatan tetep bisa divaksin.

After vaksin, Alhamdulillah ga ada efek samping apa-apa sih. Ktnya efek sampingnya bisa demam atau muntah gt trs nanti disuruh bawa lagi ke klinik", Ga ada maksimal usia jd usia berapapun asalkan memenuhi syarat kesehatan tetep bisa divaksin After vaksin Alhamdulillah ga ada efek samping apa apa sih Ktnya efek sampingnya bisa demam atau muntah gt trs nanti disuruh bawa lagi ke klinik, ga ada maksimal usia jd usia berapapun asalkan memenuhi syarat kesehatan tetep bisa divaksin after vaksin alhamdulillah ga ada efek samping apa apa sih ktnya efek sampingnya bisa demam atau muntah gt trs nanti disuruh bawa lagi ke klinik,gak ada maksimal usia jd usia berapapun asalkan memenuhi syarat kesehatan tetep bisa divaksin after vaksin alhamdulillah gak ada efek samping apa apa sih katanya efek sampingnya bisa demam atau muntah gitu terus nanti disuruh bawa lagi ke klinik,"['gak', 'ada', 'maksimal', 'usia', 'jd', 'usia', 'berapapun', 'asalkan', 'memenuhi', 'syarat', 'kesehatan', 'tetep', 'bisa', 'divaksin', 'after', 'vaksin', 'alhamdulillah', 'gak', 'ada', 'efek', 'samping', 'apa', 'apa', 'sih', 'katanya', 'efek', 'sampingnya', 'bisa', 'demam', 'atau', 'muntah', 'gitu', 'terus', 'nanti', 'disuruh', 'bawa', 'lagi', 'ke', 'klinik']","['gak', 'maksimal', 'usia', 'jd', 'usia', 'berapapun', 'asalkan', 'memenuhi', 'syarat', 'kesehatan', 'tetep', 'divaksin', 'after', 'vaksin', 'alhamdulillah', 'gak', 'efek', 'samping', 'apa', 'apa', 'sih', 'katanya', 'efek', 'sampingnya', 'demam', 'muntah', 'gitu', 'terus', 'disuruh', 'bawa', 'klinik']"
991,"EFEK VAKSIN BOOSTER KEDUA, BADAN PEGEL SEMUA😭😭😭 https://t.co/MqJqZfsI88",EFEK VAKSIN BOOSTER KEDUA BADAN PEGEL SEMUA https t co ,efek vaksin booster kedua badan pegel semua https t co ,efek vaksin booster kedua badan pegel semua https t co,"['efek', 'vaksin', 'booster', 'kedua', 'badan', 'pegel', 'semua', 'https', 't', 'co']","['efek', 'vaksin', 'booster', 'kedua', 'badan', 'pegel', 'semua', 'https', 't', 'co']"
992,"Wartawan yg nulis berita ini berdasar apa ?
Baru dengar efek vaksin covid bikin awet muda, hoax kah ?

Mohon @KemenkesRI meluruskan bahwa ini bukan efek dr vaksin, jika mmg tidak ada bukti penelitiannya

Membiarkan, sama saja dgn pembenaran..",Wartawan yg nulis berita ini berdasar apa Baru dengar efek vaksin covid bikin awet muda hoax kah Mohon meluruskan bahwa ini bukan efek dr vaksin jika mmg tidak ada bukti penelitiannya Membiarkan sama saja dgn pembenaran ,wartawan yg nulis berita ini berdasar apa baru dengar efek vaksin covid bikin awet muda hoax kah mohon meluruskan bahwa ini bukan efek dr vaksin jika mmg tidak ada bukti penelitiannya membiarkan sama saja dgn pembenaran ,wartawan yang nulis berita ini berdasar apa baru dengar efek vaksin covid bikin awet muda hoax kah mohon meluruskan bahwa ini bukan efek dr vaksin jika mmg tidak ada bukti penelitiannya membiarkan sama saja dgn pembenaran,"['wartawan', 'yang', 'nulis', 'berita', 'ini', 'berdasar', 'apa', 'baru', 'dengar', 'efek', 'vaksin', 'covid', 'bikin', 'awet', 'muda', 'hoax', 'kah', 'mohon', 'meluruskan', 'bahwa', 'ini', 'bukan', 'efek', 'dr', 'vaksin', 'jika', 'mmg', 'tidak', 'ada', 'bukti', 'penelitiannya', 'membiarkan', 'sama', 'saja', 'dgn', 'pembenaran']","['wartawan', 'nulis', 'berita', 'berdasar', 'apa', 'baru', 'dengar', 'efek', 'vaksin', 'covid', 'bikin', 'awet', 'muda', 'hoax', 'mohon', 'meluruskan', 'bukan', 'efek', 'dr', 'vaksin', 'mmg', 'bukti', 'penelitiannya', 'membiarkan', 'sama', 'dgn', 'pembenaran']"
993,"@justforfunajala @jincheonlife Kata temen kerjaku yg kebetulan dapet pfizer katanya 11 12 sih sama moderna. Pokoknya 2 vaksin itu emang efek sampingnya mantap! Tapi gapapa kokk, tetap buat gerak aja badannya😁", Kata temen kerjaku yg kebetulan dapet pfizer katanya sih sama moderna Pokoknya vaksin itu emang efek sampingnya mantap Tapi gapapa kokk tetap buat gerak aja badannya , kata temen kerjaku yg kebetulan dapet pfizer katanya sih sama moderna pokoknya vaksin itu emang efek sampingnya mantap tapi gapapa kokk tetap buat gerak aja badannya ,kata temen kerjaku yang kebetulan dapet pfizer katanya sih sama moderna pokoknya vaksin itu emang efek sampingnya mantap tapi gapapa kokk tetap buat gerak aja badannya,"['kata', 'temen', 'kerjaku', 'yang', 'kebetulan', 'dapet', 'pfizer', 'katanya', 'sih', 'sama', 'moderna', 'pokoknya', 'vaksin', 'itu', 'emang', 'efek', 'sampingnya', 'mantap', 'tapi', 'gapapa', 'kokk', 'tetap', 'buat', 'gerak', 'aja', 'badannya']","['kata', 'temen', 'kerjaku', 'kebetulan', 'dapet', 'pfizer', 'katanya', 'sih', 'sama', 'moderna', 'pokoknya', 'vaksin', 'emang', 'efek', 'sampingnya', 'mantap', 'gapapa', 'kokk', 'tetap', 'buat', 'gerak', 'aja', 'badannya']"
994,"@DrEvaChaniago Efek 2 kali vaksin sampai skrg masih ada dok,cepat lelah, mudah ngantuk, mudah demam.
Msh dipaksa paksin tiap sekali 6 bulan plus byr sendiri.
Bukannya pemerintah stop paksin dan betul kata dokter, budaya pakai masker bagi yg sakit, krn di wakanda kebalikan, mind set blm berubah", Efek kali vaksin sampai skrg masih ada dok cepat lelah mudah ngantuk mudah demam Msh dipaksa paksin tiap sekali bulan plus byr sendiri Bukannya pemerintah stop paksin dan betul kata dokter budaya pakai masker bagi yg sakit krn di wakanda kebalikan mind set blm berubah, efek kali vaksin sampai skrg masih ada dok cepat lelah mudah ngantuk mudah demam msh dipaksa paksin tiap sekali bulan plus byr sendiri bukannya pemerintah stop paksin dan betul kata dokter budaya pakai masker bagi yg sakit krn di wakanda kebalikan mind set blm berubah,efek kali vaksin sampai sekarang masih ada dok cepat lelah mudah ngantuk mudah demam masih dipaksa paksin tiap sekali bulan plus bayar sendiri bukannya pemerintah stop paksin dan betul kata dokter budaya pakai masker bagi yang sakit karena di wakanda kebalikan mind set belum berubah,"['efek', 'kali', 'vaksin', 'sampai', 'sekarang', 'masih', 'ada', 'dok', 'cepat', 'lelah', 'mudah', 'ngantuk', 'mudah', 'demam', 'masih', 'dipaksa', 'paksin', 'tiap', 'sekali', 'bulan', 'plus', 'bayar', 'sendiri', 'bukannya', 'pemerintah', 'stop', 'paksin', 'dan', 'betul', 'kata', 'dokter', 'budaya', 'pakai', 'masker', 'bagi', 'yang', 'sakit', 'karena', 'di', 'wakanda', 'kebalikan', 'mind', 'set', 'belum', 'berubah']","['efek', 'kali', 'vaksin', 'sekarang', 'dok', 'cepat', 'lelah', 'mudah', 'ngantuk', 'mudah', 'demam', 'dipaksa', 'paksin', 'tiap', 'sekali', 'bulan', 'plus', 'bayar', 'sendiri', 'bukannya', 'pemerintah', 'stop', 'paksin', 'betul', 'kata', 'dokter', 'budaya', 'pakai', 'masker', 'sakit', 'wakanda', 'kebalikan', 'mind', 'set', 'berubah']"
995,"Harus sadar sih ini bukan efek vaksin booster, emang sudah bawaannya laperan.",Harus sadar sih ini bukan efek vaksin booster emang sudah bawaannya laperan ,harus sadar sih ini bukan efek vaksin booster emang sudah bawaannya laperan ,harus sadar sih ini bukan efek vaksin booster emang sudah bawaannya laperan,"['harus', 'sadar', 'sih', 'ini', 'bukan', 'efek', 'vaksin', 'booster', 'emang', 'sudah', 'bawaannya', 'laperan']","['sadar', 'sih', 'bukan', 'efek', 'vaksin', 'booster', 'emang', 'bawaannya', 'laperan']"
996,"Efek vaksin booster kedua parah banget ampun deh, bener2 baru terasa H+1 vaksin 🥴😵‍💫",Efek vaksin booster kedua parah banget ampun deh baru terasa H vaksin ,efek vaksin booster kedua parah banget ampun deh baru terasa h vaksin ,efek vaksin booster kedua parah banget ampun deh baru terasa h vaksin,"['efek', 'vaksin', 'booster', 'kedua', 'parah', 'banget', 'ampun', 'deh', 'baru', 'terasa', 'h', 'vaksin']","['efek', 'vaksin', 'booster', 'kedua', 'parah', 'banget', 'ampun', 'deh', 'baru', 'terasa', 'h', 'vaksin']"
997,@tiffaniaev Selain mual ada efek lain gak kak? Kyk pusing/mual? Dpt nya dosis apa btw? Aku bsk pagi mau vaksin kok jadi ragu 😅, Selain mual ada efek lain gak kak Kyk pusing mual Dpt nya dosis apa btw Aku bsk pagi mau vaksin kok jadi ragu , selain mual ada efek lain gak kak kyk pusing mual dpt nya dosis apa btw aku bsk pagi mau vaksin kok jadi ragu ,selain mual ada efek lain gak kak kayak pusing mual dpt nya dosis apa btw aku bsk pagi mau vaksin kok jadi ragu,"['selain', 'mual', 'ada', 'efek', 'lain', 'gak', 'kak', 'kayak', 'pusing', 'mual', 'dpt', 'nya', 'dosis', 'apa', 'btw', 'aku', 'bsk', 'pagi', 'mau', 'vaksin', 'kok', 'jadi', 'ragu']","['mual', 'efek', 'gak', 'kak', 'kayak', 'pusing', 'mual', 'dpt', 'nya', 'dosis', 'apa', 'btw', 'aku', 'bsk', 'pagi', 'mau', 'vaksin', 'kok', 'jadi', 'ragu']"
998,Ni vaksin booster ke-2 yg efek sampingnya bikin ngantuk apa w yg kurang tidur yak,Ni vaksin booster ke yg efek sampingnya bikin ngantuk apa w yg kurang tidur yak,ni vaksin booster ke yg efek sampingnya bikin ngantuk apa w yg kurang tidur yak,ni vaksin booster ke yang efek sampingnya bikin ngantuk apa w yang kurang tidur ya,"['ni', 'vaksin', 'booster', 'ke', 'yang', 'efek', 'sampingnya', 'bikin', 'ngantuk', 'apa', 'w', 'yang', 'kurang', 'tidur', 'ya']","['ni', 'vaksin', 'booster', 'efek', 'sampingnya', 'bikin', 'ngantuk', 'apa', 'w', 'kurang', 'tidur']"
999,"gue ga suka efek setelah vaksin, jdi harus meminimalisir kegiatan",gue ga suka efek setelah vaksin jdi harus meminimalisir kegiatan,gue ga suka efek setelah vaksin jdi harus meminimalisir kegiatan,gue gak suka efek setelah vaksin jdi harus meminimalisir kegiatan,"['gue', 'gak', 'suka', 'efek', 'setelah', 'vaksin', 'jdi', 'harus', 'meminimalisir', 'kegiatan']","['gue', 'gak', 'suka', 'efek', 'vaksin', 'jdi', 'meminimalisir', 'kegiatan']"
1000,"CVD-19 Vaksin tidak memberi anda covid namum jika anda menerima Hoax Kohpid ini maka anda akan beresiko terkena ribuan efek samping bahkan mati setelahnya.

Sehingga pundi-pundi uang dari bisnis pengobatan palsu dan biaya penyedia jasa dan rawat inap dihasilkan #pandemihoax https://t.co/nL1VWyau2R",CVD Vaksin tidak memberi anda covid namum jika anda menerima Hoax Kohpid ini maka anda akan beresiko terkena ribuan efek samping bahkan mati setelahnya Sehingga pundi pundi uang dari bisnis pengobatan palsu dan biaya penyedia jasa dan rawat inap dihasilkan https t co ,cvd vaksin tidak memberi anda covid namum jika anda menerima hoax kohpid ini maka anda akan beresiko terkena ribuan efek samping bahkan mati setelahnya sehingga pundi pundi uang dari bisnis pengobatan palsu dan biaya penyedia jasa dan rawat inap dihasilkan https t co ,cvd vaksin tidak memberi anda covid namum jika anda menerima hoax kohpid ini maka anda akan beresiko terkena ribuan efek samping bahkan mati setelahnya sehingga pundi pundi uang dari bisnis pengobatan palsu dan biaya penyedia jasa dan rawat inap dihasilkan https t co,"['cvd', 'vaksin', 'tidak', 'memberi', 'anda', 'covid', 'namum', 'jika', 'anda', 'menerima', 'hoax', 'kohpid', 'ini', 'maka', 'anda', 'akan', 'beresiko', 'terkena', 'ribuan', 'efek', 'samping', 'bahkan', 'mati', 'setelahnya', 'sehingga', 'pundi', 'pundi', 'uang', 'dari', 'bisnis', 'pengobatan', 'palsu', 'dan', 'biaya', 'penyedia', 'jasa', 'dan', 'rawat', 'inap', 'dihasilkan', 'https', 't', 'co']","['cvd', 'vaksin', 'memberi', 'covid', 'namum', 'menerima', 'hoax', 'kohpid', 'beresiko', 'terkena', 'ribuan', 'efek', 'samping', 'bahkan', 'mati', 'setelahnya', 'pundi', 'pundi', 'uang', 'bisnis', 'pengobatan', 'palsu', 'biaya', 'penyedia', 'jasa', 'rawat', 'inap', 'dihasilkan', 'https', 't', 'co']"
1001,@Craze_26 @rndy11 Efek vaksin bang., Efek vaksin bang , efek vaksin bang ,efek vaksin bang,"['efek', 'vaksin', 'bang']","['efek', 'vaksin', 'bang']"
1002,Abis vaksin makan eskrim 2x nambah 😭 pulang2 panas dingin gtau krn efek vaksin apa efek kebanyakan makan eskrim😭,Abis vaksin makan eskrim nambah panas dingin gtau krn efek vaksin apa efek kebanyakan makan eskrim ,abis vaksin makan eskrim nambah panas dingin gtau krn efek vaksin apa efek kebanyakan makan eskrim ,habis vaksin makan eskrim nambah panas dingin gtau karena efek vaksin apa efek kebanyakan makan eskrim,"['habis', 'vaksin', 'makan', 'eskrim', 'nambah', 'panas', 'dingin', 'gtau', 'karena', 'efek', 'vaksin', 'apa', 'efek', 'kebanyakan', 'makan', 'eskrim']","['habis', 'vaksin', 'makan', 'eskrim', 'nambah', 'panas', 'dingin', 'gtau', 'efek', 'vaksin', 'apa', 'efek', 'kebanyakan', 'makan', 'eskrim']"
1003,"@knzk_bc0w0l Booster vaksin ku mayan beri efek samping sih
Bbrp hari aga sumeng dan lengannya berat banget
Padahal booster 1 ga gtu ada efek🤔", Booster vaksin ku mayan beri efek samping sih Bbrp hari aga sumeng dan lengannya berat banget Padahal booster ga gtu ada efek , booster vaksin ku mayan beri efek samping sih bbrp hari aga sumeng dan lengannya berat banget padahal booster ga gtu ada efek ,booster vaksin ku mayan beri efek samping sih bbrp hari aga sumeng dan lengannya berat banget padahal booster gak gitu ada efek,"['booster', 'vaksin', 'ku', 'mayan', 'beri', 'efek', 'samping', 'sih', 'bbrp', 'hari', 'aga', 'sumeng', 'dan', 'lengannya', 'berat', 'banget', 'padahal', 'booster', 'gak', 'gitu', 'ada', 'efek']","['booster', 'vaksin', 'ku', 'mayan', 'beri', 'efek', 'samping', 'sih', 'bbrp', 'hari', 'aga', 'sumeng', 'lengannya', 'berat', 'banget', 'padahal', 'booster', 'gak', 'gitu', 'efek']"
1004,Efek vaksin boster dua gak ilang ilang anjing bawaannya pengen ngamok sama pengen ke labuan bajo,Efek vaksin boster dua gak ilang ilang anjing bawaannya pengen ngamok sama pengen ke labuan bajo,efek vaksin boster dua gak ilang ilang anjing bawaannya pengen ngamok sama pengen ke labuan bajo,efek vaksin boster dua gak ilang ilang anjing bawaannya pengen ngamok sama pengen ke labuan bajo,"['efek', 'vaksin', 'boster', 'dua', 'gak', 'ilang', 'ilang', 'anjing', 'bawaannya', 'pengen', 'ngamok', 'sama', 'pengen', 'ke', 'labuan', 'bajo']","['efek', 'vaksin', 'boster', 'gak', 'ilang', 'ilang', 'anjing', 'bawaannya', 'pengen', 'ngamok', 'sama', 'pengen', 'labuan', 'bajo']"
1005,efek vaksin e lg kroso hmm ngilu bngt tangane😞,efek vaksin e lg kroso hmm ngilu bngt tangane ,efek vaksin e lg kroso hmm ngilu bngt tangane ,efek vaksin e lagi kroso hmm ngilu banget tangane,"['efek', 'vaksin', 'e', 'lagi', 'kroso', 'hmm', 'ngilu', 'banget', 'tangane']","['efek', 'vaksin', 'e', 'kroso', 'hmm', 'ngilu', 'banget', 'tangane']"
1006,"efek vaksin pfizer kemarin bikin meriang dan diare, akhirnya aku nyeduh teh dan dicampur madu https://t.co/cXm4VPKB4U",efek vaksin pfizer kemarin bikin meriang dan diare akhirnya aku nyeduh teh dan dicampur madu https t co ,efek vaksin pfizer kemarin bikin meriang dan diare akhirnya aku nyeduh teh dan dicampur madu https t co ,efek vaksin pfizer kemarin bikin meriang dan diare akhirnya aku nyeduh teh dan dicampur madu https t co,"['efek', 'vaksin', 'pfizer', 'kemarin', 'bikin', 'meriang', 'dan', 'diare', 'akhirnya', 'aku', 'nyeduh', 'teh', 'dan', 'dicampur', 'madu', 'https', 't', 'co']","['efek', 'vaksin', 'pfizer', 'kemarin', 'bikin', 'meriang', 'diare', 'akhirnya', 'aku', 'nyeduh', 'teh', 'dicampur', 'madu', 'https', 't', 'co']"
1007,"fess efek vaksin pfizer kemarin bikin meriang dan diare, akhirnya aku nyeduh teh dan dicampur madu https://t.co/DXmoom2mXC",fess efek vaksin pfizer kemarin bikin meriang dan diare akhirnya aku nyeduh teh dan dicampur madu https t co ,fess efek vaksin pfizer kemarin bikin meriang dan diare akhirnya aku nyeduh teh dan dicampur madu https t co ,fess efek vaksin pfizer kemarin bikin meriang dan diare akhirnya aku nyeduh teh dan dicampur madu https t co,"['fess', 'efek', 'vaksin', 'pfizer', 'kemarin', 'bikin', 'meriang', 'dan', 'diare', 'akhirnya', 'aku', 'nyeduh', 'teh', 'dan', 'dicampur', 'madu', 'https', 't', 'co']","['fess', 'efek', 'vaksin', 'pfizer', 'kemarin', 'bikin', 'meriang', 'diare', 'akhirnya', 'aku', 'nyeduh', 'teh', 'dicampur', 'madu', 'https', 't', 'co']"
1008,"Sobatkom, fungsi dari vaksin adalah untuk memperkuat sistem kekebalan tubuh sehingga tubuh manusia dapat mengenali virus yang berusaha menginfeksi tubuh kita. Jika mendapat informasi tentang efek bahwa vaksin Covid-19 berbahaya selalu #CekFakta ya, seperti info mimin berikut ini. https://t.co/YDT2drk9Iu",Sobatkom fungsi dari vaksin adalah untuk memperkuat sistem kekebalan tubuh sehingga tubuh manusia dapat mengenali virus yang berusaha menginfeksi tubuh kita Jika mendapat informasi tentang efek bahwa vaksin Covid berbahaya selalu ya seperti info mimin berikut ini https t co ,sobatkom fungsi dari vaksin adalah untuk memperkuat sistem kekebalan tubuh sehingga tubuh manusia dapat mengenali virus yang berusaha menginfeksi tubuh kita jika mendapat informasi tentang efek bahwa vaksin covid berbahaya selalu ya seperti info mimin berikut ini https t co ,sobatkom fungsi dari vaksin adalah untuk memperkuat sistem kekebalan tubuh sehingga tubuh manusia dapat mengenali virus yang berusaha menginfeksi tubuh kita jika mendapat informasi tentang efek bahwa vaksin covid berbahaya selalu ya seperti info mimin berikut ini https t co,"['sobatkom', 'fungsi', 'dari', 'vaksin', 'adalah', 'untuk', 'memperkuat', 'sistem', 'kekebalan', 'tubuh', 'sehingga', 'tubuh', 'manusia', 'dapat', 'mengenali', 'virus', 'yang', 'berusaha', 'menginfeksi', 'tubuh', 'kita', 'jika', 'mendapat', 'informasi', 'tentang', 'efek', 'bahwa', 'vaksin', 'covid', 'berbahaya', 'selalu', 'ya', 'seperti', 'info', 'mimin', 'berikut', 'ini', 'https', 't', 'co']","['sobatkom', 'fungsi', 'vaksin', 'memperkuat', 'sistem', 'kekebalan', 'tubuh', 'tubuh', 'manusia', 'mengenali', 'virus', 'berusaha', 'menginfeksi', 'tubuh', 'mendapat', 'informasi', 'efek', 'vaksin', 'covid', 'berbahaya', 'selalu', 'info', 'mimin', 'berikut', 'https', 't', 'co']"
1009,"Sobatkom, Kejadian Ikutan Pasca Imunisasi (KIPI) adalah sesuatu yang wajar. Namun, sebagian besar hanyalah reaksi ringan dan tidak berbahaya. Jika kamu mendapat informasi bahwa vaksinasi memberi efek membahayakan, #CekFakta dulu ya! Seperti [DISINFORMASI] ini👇 #vaksin #Covid19 https://t.co/JcpX0ewU79",Sobatkom Kejadian Ikutan Pasca Imunisasi KIPI adalah sesuatu yang wajar Namun sebagian besar hanyalah reaksi ringan dan tidak berbahaya Jika kamu mendapat informasi bahwa vaksinasi memberi efek membahayakan dulu ya Seperti DISINFORMASI ini https t co ,sobatkom kejadian ikutan pasca imunisasi kipi adalah sesuatu yang wajar namun sebagian besar hanyalah reaksi ringan dan tidak berbahaya jika kamu mendapat informasi bahwa vaksinasi memberi efek membahayakan dulu ya seperti disinformasi ini https t co ,sobatkom kejadian ikutan pasca imunisasi kipi adalah sesuatu yang wajar namun sebagian besar hanyalah reaksi ringan dan tidak berbahaya jika kamu mendapat informasi bahwa vaksinasi memberi efek membahayakan dulu ya seperti disinformasi ini https t co,"['sobatkom', 'kejadian', 'ikutan', 'pasca', 'imunisasi', 'kipi', 'adalah', 'sesuatu', 'yang', 'wajar', 'namun', 'sebagian', 'besar', 'hanyalah', 'reaksi', 'ringan', 'dan', 'tidak', 'berbahaya', 'jika', 'kamu', 'mendapat', 'informasi', 'bahwa', 'vaksinasi', 'memberi', 'efek', 'membahayakan', 'dulu', 'ya', 'seperti', 'disinformasi', 'ini', 'https', 't', 'co']","['sobatkom', 'kejadian', 'ikutan', 'pasca', 'imunisasi', 'kipi', 'wajar', 'sebagian', 'besar', 'hanyalah', 'reaksi', 'ringan', 'berbahaya', 'kamu', 'mendapat', 'informasi', 'vaksinasi', 'memberi', 'efek', 'membahayakan', 'dulu', 'disinformasi', 'https', 't', 'co']"
1010,mulai nih efek vaksin nya 😪,mulai nih efek vaksin nya ,mulai nih efek vaksin nya ,mulai nih efek vaksin nya,"['mulai', 'nih', 'efek', 'vaksin', 'nya']","['mulai', 'nih', 'efek', 'vaksin', 'nya']"
1011,@DrEvaChaniago Efek vaksin itu bisa puluhan tahun. Contoh: autoimmune, Efek vaksin itu bisa puluhan tahun Contoh autoimmune, efek vaksin itu bisa puluhan tahun contoh autoimmune,efek vaksin itu bisa puluhan tahun contoh autoimmune,"['efek', 'vaksin', 'itu', 'bisa', 'puluhan', 'tahun', 'contoh', 'autoimmune']","['efek', 'vaksin', 'puluhan', 'tahun', 'contoh', 'autoimmune']"
1012,"@CNNIndonesia Efek vaksin yang disahkan, sirop, main game,telor, kopi. 😆😆😆", Efek vaksin yang disahkan sirop main game telor kopi , efek vaksin yang disahkan sirop main game telor kopi ,efek vaksin yang disahkan sirop main game telor kopi,"['efek', 'vaksin', 'yang', 'disahkan', 'sirop', 'main', 'game', 'telor', 'kopi']","['efek', 'vaksin', 'disahkan', 'sirop', 'main', 'game', 'telor', 'kopi']"
1013,"Memang efek vaksin itu mantab sekali, muncul h÷1",Memang efek vaksin itu mantab sekali muncul h ,memang efek vaksin itu mantab sekali muncul h ,memang efek vaksin itu mantab sekali muncul h,"['memang', 'efek', 'vaksin', 'itu', 'mantab', 'sekali', 'muncul', 'h']","['memang', 'efek', 'vaksin', 'mantab', 'sekali', 'muncul', 'h']"
1014,"@CatraSamoedro @olipitot @Firmanzy melihara kucing juga bukan perkara ngasih makan doang, musti sediain kandang, tempat pup, vaksin, mandiin teratur, blm kalo sakit. gua kesel nih punya tetangga melihara kucing banyak cuma modal ngasih makan efek nya ganggu tetangga😭", melihara kucing juga bukan perkara ngasih makan doang musti sediain kandang tempat pup vaksin mandiin teratur blm kalo sakit gua kesel nih punya tetangga melihara kucing banyak cuma modal ngasih makan efek nya ganggu tetangga , melihara kucing juga bukan perkara ngasih makan doang musti sediain kandang tempat pup vaksin mandiin teratur blm kalo sakit gua kesel nih punya tetangga melihara kucing banyak cuma modal ngasih makan efek nya ganggu tetangga ,melihara kucing juga bukan perkara ngasih makan doang musti sediain kandang tempat pup vaksin mandiin teratur belum kalo sakit gue kesel nih punya tetangga melihara kucing banyak cuma modal ngasih makan efek nya ganggu tetangga,"['melihara', 'kucing', 'juga', 'bukan', 'perkara', 'ngasih', 'makan', 'doang', 'musti', 'sediain', 'kandang', 'tempat', 'pup', 'vaksin', 'mandiin', 'teratur', 'belum', 'kalo', 'sakit', 'gue', 'kesel', 'nih', 'punya', 'tetangga', 'melihara', 'kucing', 'banyak', 'cuma', 'modal', 'ngasih', 'makan', 'efek', 'nya', 'ganggu', 'tetangga']","['melihara', 'kucing', 'bukan', 'perkara', 'ngasih', 'makan', 'doang', 'musti', 'sediain', 'kandang', 'tempat', 'pup', 'vaksin', 'mandiin', 'teratur', 'kalo', 'sakit', 'gue', 'kesel', 'nih', 'punya', 'tetangga', 'melihara', 'kucing', 'banyak', 'cuma', 'modal', 'ngasih', 'makan', 'efek', 'nya', 'ganggu', 'tetangga']"
1015,Sejauh ini efek vaksin msh sebatas pusing ya🤪,Sejauh ini efek vaksin msh sebatas pusing ya ,sejauh ini efek vaksin msh sebatas pusing ya ,sejauh ini efek vaksin masih sebatas pusing ya,"['sejauh', 'ini', 'efek', 'vaksin', 'masih', 'sebatas', 'pusing', 'ya']","['sejauh', 'efek', 'vaksin', 'sebatas', 'pusing']"
1016,Di kamar padahal ac dimatiin tapi tetep menggigil. Bener2 yaaa efek vaksin ini 🥹,Di kamar padahal ac dimatiin tapi tetep menggigil yaaa efek vaksin ini ,di kamar padahal ac dimatiin tapi tetep menggigil yaaa efek vaksin ini ,di kamar padahal ac dimatiin tapi tetep menggigil ya efek vaksin ini,"['di', 'kamar', 'padahal', 'ac', 'dimatiin', 'tapi', 'tetep', 'menggigil', 'ya', 'efek', 'vaksin', 'ini']","['kamar', 'padahal', 'ac', 'dimatiin', 'tetep', 'menggigil', 'efek', 'vaksin']"
